Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Month
TXN_1961373,Coffee,4.0,2.0,4.0,Credit Card,Takeaway,2023-09-08,2023-09
TXN_4977031,Cake,12.0,3.0,12.0,Cash,In-store,2023-05-16,2023-05
TXN_3160411,Coffee,4.0,2.0,4.0,Digital Wallet,In-store,2023-06-11,2023-06
TXN_2548360,Salad,25.0,5.0,25.0,Cash,Takeaway,2023-11-07,2023-11
TXN_7619095,Sandwich,8.0,4.0,8.0,Cash,In-store,2023-05-03,2023-05
TXN_2847255,Salad,15.0,5.0,15.0,Credit Card,In-store,2023-11-15,2023-11
TXN_6769710,Juice,6.0,3.0,6.0,Cash,In-store,2023-02-24,2023-02
TXN_3709394,Juice,12.0,3.0,12.0,Cash,Takeaway,2023-01-15,2023-01
TXN_3522028,Smoothie,20.0,4.0,20.0,Cash,In-store,2023-04-04,2023-04
TXN_3567645,Smoothie,16.0,4.0,16.0,Credit Card,Takeaway,2023-03-30,2023-03
TXN_5132361,Sandwich,12.0,4.0,12.0,Digital Wallet,Takeaway,2023-12-01,2023-12
TXN_9400181,Sandwich,20.0,4.0,20.0,Cash,In-store,2023-06-03,2023-06
TXN_5183041,Cookie,5.0,1.0,5.0,Credit Card,In-store,2023-04-20,2023-04
TXN_5695074,Juice,12.0,3.0,12.0,Credit Card,Takeaway,2023-04-10,2023-04
TXN_8853997,Smoothie,8.0,4.0,8.0,Digital Wallet,Takeaway,2023-10-09,2023-10
TXN_1080432,Salad,10.0,5.0,10.0,Credit Card,In-store,2023-04-29,2023-04
TXN_8078640,Juice,12.0,3.0,12.0,Digital Wallet,In-store,2023-11-03,2023-11
TXN_8614868,Smoothie,20.0,4.0,20.0,Digital Wallet,Takeaway,2023-12-05,2023-12
TXN_5522862,Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-03-19,2023-03
TXN_2080895,Cake,3.0,3.0,3.0,Digital Wallet,In-store,2023-04-19,2023-04
TXN_6421134,Sandwich,16.0,4.0,16.0,Cash,Takeaway,2023-11-03,2023-11
TXN_3068204,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-10-03,2023-10
TXN_2621580,Tea,3.0,1.5,3.0,Cash,In-store,2023-03-22,2023-03
TXN_4726376,Cake,6.0,3.0,6.0,Credit Card,In-store,2023-01-31,2023-01
TXN_6420335,Coffee,2.0,2.0,2.0,Cash,Takeaway,2023-07-16,2023-07
TXN_3829165,Juice,12.0,3.0,12.0,Cash,In-store,2023-06-15,2023-06
TXN_3748616,Coffee,4.0,2.0,4.0,Credit Card,In-store,2023-12-09,2023-12
TXN_5266394,Cake,9.0,3.0,9.0,Cash,In-store,2023-10-28,2023-10
TXN_8976658,Tea,3.0,1.5,3.0,Credit Card,In-store,2023-08-16,2023-08
TXN_5220895,Salad,25.0,5.0,25.0,Cash,In-store,2023-06-10,2023-06
TXN_3085509,Coffee,8.0,2.0,8.0,Digital Wallet,In-store,2023-04-15,2023-04
TXN_9999113,Juice,12.0,3.0,12.0,Cash,Takeaway,2023-05-27,2023-05
TXN_8779771,Coffee,8.0,2.0,8.0,Cash,In-store,2023-07-25,2023-07
TXN_3808639,Juice,6.0,3.0,6.0,Digital Wallet,Takeaway,2023-12-15,2023-12
TXN_4358673,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-12-28,2023-12
TXN_4368416,Salad,10.0,5.0,10.0,Credit Card,Takeaway,2023-02-24,2023-02
TXN_6258471,Coffee,10.0,2.0,10.0,Digital Wallet,In-store,2023-09-23,2023-09
